CHROMOSOME	START_POS	END_POS	STRAND	GENE	OVERLAP
chr1	1917590	1919279	-	TMEM52	Y
chr1	1921956	2003786	-	CFAP74	Y
chr1	2019344	2030758	+	GABRD	Y
chr1	2049200	2050070	-	LOC105378591	Y
chr1	2050410	2185395	+	PRKCZ	Y
chr1	2181793	2183875	-	PRKCZ-AS1	Y
chr1	2184459	2207733	-	FAAP20	Y
chr1	2189797	2192458	+	LOC112268219	Y
chr1	2228318	2310213	+	SKI	Y
chr1	2321252	2391554	-	MORN1	Y
chr1	2350414	2352661	-	LOC100129534	Y
chr1	2391840	2405436	+	RER1	Y
chr1	2403973	2413827	-	PEX10	Y
chr1	2467450	2505532	+	PLCH2	Y
chr1	2508536	2526596	-	PANK4	Y
chr1	2528744	2530263	-	HES5	Y
chr1	2549919	2557011	-	TNFRSF14-AS1	Y
chr1	2556364	2565622	+	TNFRSF14	Y
chr1	2566534	2584534	+	LOC100996583	Y
chr1	2586522	2591468	+	PRXL2B	Y
chr1	2590639	2633016	-	MMEL1	Y
chr1	2641268	2800868	-	TTC34	Y
chr1	3021466	3022903	+	ACTRT2	Y
chr1	3059616	3067725	-	PRDM16-DT	Y
chr1	3069202	3438621	+	PRDM16	Y
chr1	3127974	3128035	+	MIR4251	Y
chr1	3454664	3481113	+	ARHGEF16	Y
chr1	3487950	3611508	-	MEGF6	Y
chr1	3560695	3560790	-	MIR551A	Y
chr1	3625014	3630127	+	TPRG1L	Y
chr1	3630769	3650103	-	WRAP73	Y
chr1	3652515	3736201	+	TP73	Y
chr1	3735983	3747373	-	TP73-AS1	Y
chr1	3752449	3771645	+	CCDC27	Y
chr1	3772748	3775956	+	SMIM1	Y
chr1	3778558	3796498	-	LRRC47	Y
chr1	3812085	3857211	-	CEP104	Y
chr1	3857266	3885429	+	DFFB	Y
chr1	3889132	3900272	-	C1orf174	Y
chr1	3900403	3915447	+	LINC01134	Y
chr1	3940611	3952583	+	LINC01346	Y
chr1	3947148	3948980	-	LINC01345	Y
chr1	4412050	4424684	+	LINC01777	Y
chr1	4571486	4583704	+	LINC01646	Y
chr1	4654608	4792522	+	AJAP1	Y
chr1	5862671	5862741	-	MIR4689	Y
chr1	5862810	5992425	-	NPHP4	Y
chr1	5992675	6101180	+	KCNAB2	Y
chr1	6101786	6180321	-	CHD5	Y
chr1	6185019	6199595	-	RPL22	Y
chr1	6204839	6205780	-	RNF207-AS1	Y
chr1	6206118	6221299	+	RNF207	Y
chr1	6221192	6235964	-	ICMT	Y
chr1	6236239	6239442	+	LINC00337	Y
chr1	6244178	6245578	+	HES3	Y
chr1	6247352	6261098	-	GPR153	Y
chr1	6264271	6393767	-	ACOT7	Y
chr1	6415233	6419919	-	HES2	Y
chr1	6424775	6460944	+	ESPN	Y
chr1	6429833	6429896	-	MIR4252	Y
chr1	6460785	6466173	-	TNFRSF25	Y
chr1	6467121	6520092	-	PLEKHG5	Y
chr1	6521346	6554513	-	NOL9	Y
chr1	6555306	6579755	+	TAS1R1	Y
chr1	6579993	6589280	+	ZBTB48	Y
chr1	6590723	6602869	-	KLHL21	Y
chr1	6613730	6624030	+	PHF13	Y
chr1	6625149	6635586	+	THAP3	Y
chr1	6634169	6701816	-	DNAJC11	Y
chr1	6724744	6730012	+	LINC01672	Y
chr1	6783891	6784980	-	CAMTA1-DT	Y
chr1	6785453	7769706	+	CAMTA1	Y
chr1	7382486	7389754	-	CAMTA1-AS2	Y
chr1	7771295	7781432	+	VAMP3	Y
chr1	7784290	7845177	+	PER3	Y
chr1	7847611	7853491	-	UTS2	Y
chr1	7915870	7940839	-	TNFRSF9	Y
chr1	7961710	7985505	+	PARK7	Y
chr1	8011726	8026309	-	ERRFI1	Y
chr1	8208671	8215208	+	LINC01714	Y
chr1	8318113	8344165	+	SLC45A1	Y
chr1	8352403	8817640	-	RERE	Y
chr1	8424644	8435016	+	RERE-AS1	Y
chr1	8494799	8494913	-	SNORD128	Y
chr1	8860999	8878686	-	ENO1	Y
chr1	8866501	8866590	-	MIR6728	Y
chr1	8878834	8879884	+	ENO1-AS1	Y
chr1	8945867	8975089	+	CA6	Y
chr1	9003299	9026345	-	SLC2A7	Y
chr1	9035105	9072259	-	SLC2A5	Y
chr1	9100304	9129102	-	GPR157	Y
chr1	9148010	9182338	-	MIR34AHG	Y
chr1	9151667	9151777	-	MIR34A	Y
chr1	9182203	9192085	+	LNCTAM34A	Y
chr1	9234773	9271335	+	H6PD	Y
chr1	9292893	9369531	+	SPSB1	Y
chr1	9425093	9428996	-	LINC02606	Y
chr1	9539464	9585173	+	SLC25A33	Y
chr1	9588910	9614877	+	TMEM201	Y
chr1	9651730	9729114	+	PIK3CD	Y
chr1	9652609	9654586	-	PIK3CD-AS1	Y
chr1	9672425	9687574	-	PIK3CD-AS2	Y
chr1	9729020	9824526	-	CLSTN1	Y
chr1	9848275	9910269	-	CTNNBIP1	Y
chr1	9922117	9943391	-	LZIC	Y
chr1	9942922	9985498	+	NMNAT1	Y
chr1	9950571	9960787	-	TMEM274P	Y
chr1	9967380	9967458	+	MIR5697	Y
chr1	9997227	10016021	+	RBP7	Y
chr1	10032957	10181238	+	UBE4B	Y
chr1	10210569	10381603	+	KIF1B	Y
chr1	10298965	10299070	+	RNU6-1	Y
chr1	10298965	10299070	+	RNU6-2	Y
chr1	10298965	10299070	+	RNU6-7	Y
chr1	10298965	10299070	+	RNU6-8	Y
chr1	10298965	10299070	+	RNU6-9	Y
chr1	10399063	10420511	+	PGD	Y
chr1	10430432	10442808	+	CENPS	Y
chr1	10430432	10452153	+	CENPS-CORT	Y
chr1	10450030	10451998	+	CORT	Y
chr1	10456521	10472529	-	DFFA	Y
chr1	10474949	10630758	+	PEX14	Y
chr1	10636605	10796646	-	CASZ1	Y
chr1	10946472	10982037	-	C1orf127	Y
chr1	11012653	11025492	+	TARDBP	Y
chr1	11026522	11047239	-	MASP2	Y
chr1	11054589	11060018	-	SRM	Y
chr1	11066618	11099869	-	EXOSC10	Y
chr1	11099674	11102106	+	EXOSC10-AS1	Y
chr1	11106534	11262551	-	MTOR	Y
chr1	11143897	11149538	+	MTOR-AS1	Y
chr1	11189354	11195981	+	ANGPTL7	Y
chr1	11273197	11299571	+	UBIAD1	Y
chr1	11479154	11537551	+	DISP3	Y
chr1	11609530	11613354	+	LINC01647	Y
chr1	11648386	11654429	-	FBXO2	Y
chr1	11654406	11663327	+	FBXO44	Y
chr1	11664199	11674352	+	FBXO6	Y
chr1	11674479	11691621	-	MAD2L2	Y
chr1	11691709	11725857	+	DRAXIN	Y
chr1	11736084	11750771	+	AGTRAP	Y
chr1	11762192	11789585	+	C1orf167	Y
chr1	11777076	11779619	-	C1orf167-AS1	Y
chr1	11785725	11805964	-	MTHFR	Y
chr1	11806095	11843144	+	CLCN6	Y
chr1	11840318	11847616	+	NPPA-AS1	Y
chr1	11845709	11847783	-	NPPA	Y
chr1	11857463	11858945	-	NPPB	Y
chr1	11908153	11908272	+	RNU5E-1	Y
chr1	11919590	11926427	-	KIAA2013	Y
chr1	11934716	11975537	+	PLOD1	Y
chr1	11980180	12013515	+	MFN2	Y
chr1	12019497	12032045	+	MIIP	Y
chr1	12029157	12029222	+	MIR6729	Y
chr1	12063302	12144207	+	TNFRSF8	Y
chr1	12166942	12167038	+	MIR7846	Y
chr1	12166990	12209220	+	TNFRSF1B	Y
chr1	12191712	12191773	+	MIR4632	Y
chr1	12230029	12512046	+	VPS13D	Y
chr1	12507245	12507397	+	SNORA59A	Y
chr1	12507245	12507397	+	SNORA59B	Y
chr1	12567909	12618210	-	DHRS3	Y
chr1	12578956	12579023	-	MIR6730	Y
chr1	12644084	12667076	+	AADACL4	Y
chr1	12716109	12728760	+	AADACL3	Y
chr1	12746199	12763699	+	C1orf158	Y
chr1	12773737	12777905	+	PRAMEF12	Y
chr1	12791396	12796628	+	PRAMEF1	Y
chr1	12822685	12823223	-	LINC01784	Y
chr1	12824604	12831410	-	PRAMEF11	Y
chr1	12847376	12848720	-	HNRNPCL1	Y
chr1	12857085	12861909	+	PRAMEF2	Y
chr1	12879211	12886201	-	PRAMEF4	Y
chr1	12892895	12898270	-	PRAMEF10	Y
chr1	12916646	12920480	+	PRAMEF7	Y
chr1	12938471	12947580	-	PRAMEF6	Y
chr1	13049475	13056575	-	PRAMEF27	Y
chr1	13060768	13062873	+	HNRNPCL3	Y
chr1	13061160	13062873	+	HNRNPCL4	Y
chr1	13073677	13077884	+	PRAMEF26	Y
chr1	13073677	13078038	+	PRAMEF25	Y
chr1	13094514	13099717	-	PRAMEF34P	Y
chr1	13094514	13099717	-	PRAMEF36P	Y
chr1	13115487	13116854	-	HNRNPCL2	Y
chr1	13127068	13132274	+	PRAMEF34P	Y
chr1	13127068	13132274	+	PRAMEF36P	Y
chr1	13148750	13153111	-	PRAMEF25	Y
chr1	13148904	13153111	-	PRAMEF26	Y
chr1	13163918	13165631	-	HNRNPCL4	Y
chr1	13163918	13166023	-	HNRNPCL3	Y
chr1	13170218	13179464	+	PRAMEF27	Y
chr1	13175280	13179132	+	PRAMEF9	Y
chr1	13196187	13201409	-	PRAMEF13	Y
chr1	13222694	13226154	-	PRAMEF18	Y
chr1	13223331	13226112	-	PRAMEF22	Y
chr1	13254176	13263435	+	PRAMEF5	Y
chr1	13281303	13285137	-	PRAMEF8	Y
chr1	13303538	13308907	+	PRAMEF33	Y
chr1	13315580	13322598	+	PRAMEF15	Y
chr1	13341891	13347134	-	PRAMEF14	Y
chr1	13368441	13371999	-	PRAMEF19	Y
chr1	13389631	13392629	+	PRAMEF17	Y
chr1	13410449	13421328	+	PRAMEF20	Y
chr1	13474972	13514003	-	LRRC38	Y
chr1	13583756	13617957	+	PDPN	Y
chr1	13700187	13825079	+	PRDM2	Y
chr1	14348954	14419973	-	KAZN-AS1	Y
chr1	14598684	15118043	+	KAZN	Y
chr1	15111814	15152464	-	TMEM51-AS1	Y
chr1	15152531	15220478	+	TMEM51	Y
chr1	15164191	15171624	-	C1orf195	Y
chr1	15247224	15398127	+	FHAD1	Y
chr1	15326679	15343883	-	FHAD1-AS1	Y
chr1	15409887	15430339	+	EFHD2	Y
chr1	15438442	15449242	+	CTRC	Y
chr1	15456731	15472091	+	CELA2A	Y
chr1	15476103	15491394	+	CELA2B	Y
chr1	15491400	15524790	-	CASP9	Y
chr1	15526812	15571733	+	DNAJC16	Y
chr1	15542165	15542304	+	SCARNA21B	Y
chr1	15571698	15585051	-	AGMAT	Y
chr1	15617457	15669044	+	DDI2	Y
chr1	15659712	15662030	+	RSC1A1	Y
chr1	15684319	15734769	+	PLEKHM2	Y
chr1	15736257	15741392	+	SLC25A34	Y
chr1	15740050	15749890	-	SLC25A34-AS1	Y
chr1	15742498	15747982	+	TMEM82	Y
chr1	15756637	15786589	+	FBLIM1	Y
chr1	15807161	15807699	-	UQCRHL	Y
chr1	15834214	15848147	-	FLJ37453	Y
chr1	15847706	15940456	+	SPEN	Y
chr1	15941868	15976132	-	ZBTB17	Y
chr1	16004235	16008807	+	SRARP	Y
chr1	16014028	16019594	-	HSPB7	Y
chr1	16022035	16034050	+	CLCNKA	Y
chr1	16043781	16057308	+	CLCNKB	Y
chr1	16057768	16073651	-	FAM131C	Y
chr1	16124336	16156069	-	EPHA2	Y
chr1	16197853	16212652	-	ARHGEF19	Y
chr1	16231691	16237183	-	CPLANE2	Y
chr1	16246839	16352480	-	FBXO42	Y
chr1	16367241	16398145	+	SZRD1	Y
chr1	16395680	16437424	-	SPATA21	Y
chr1	16440671	16460089	+	NECAP2	Y
chr1	16460947	16468481	+	LINC01772	Y
chr1	16467435	16492701	-	CROCCP3	Y
chr1	16514121	16514285	-	RNU1-1	Y
chr1	16514121	16514285	-	RNU1-2	Y
chr1	16514121	16514285	-	RNU1-3	Y
chr1	16514121	16514285	-	RNU1-4	Y
chr1	16514121	16514285	-	RNVU1-18	Y
chr1	16533890	16535652	-	LINC01783	Y
chr1	16548913	16548987	+	MIR3675	Y
chr1	16562322	16613564	-	NBPF1	Y
chr1	16618255	16630906	-	CROCCP2	Y
chr1	16645573	16650420	+	MST1P2	Y
chr1	16691217	16720157	-	ESPNP	Y
chr1	16740515	16740679	+	RNU1-1	Y
chr1	16740515	16740679	+	RNU1-2	Y
chr1	16740515	16740679	+	RNU1-3	Y
chr1	16740515	16740679	+	RNU1-4	Y
chr1	16740515	16740679	+	RNVU1-18	Y
chr1	16754633	16764480	-	MST1L	Y
chr1	16858948	16859021	-	MIR3675	Y
chr1	16872225	16874096	+	LOC112267871	Y
chr1	16888537	16889666	-	LOC105376805	Y
chr1	16921930	16972960	+	CROCC	Y
chr1	16974503	16981586	-	MFAP2	Y
chr1	16985957	17011928	-	ATP13A2	Y
chr1	17018725	17054032	-	SDHB	Y
chr1	17066760	17119451	-	PADI2	Y
chr1	17189788	17196387	+	LINC02783	Y
chr1	17205127	17246007	+	PADI1	Y
chr1	17249097	17284232	+	PADI3	Y
chr1	17277888	17277975	+	MIR3972	Y
chr1	17308196	17364004	+	PADI4	Y
chr1	17372195	17401699	+	PADI6	Y
chr1	17406759	17439677	-	RCC2	Y
chr1	17539697	17697869	+	ARHGEF10L	Y
chr1	17755332	17827063	+	ACTL8	Y
chr1	18065656	18074411	+	LINC01654	Y
chr1	18107797	18378483	+	IGSF21	Y
chr1	18480929	18485986	+	KLHDC7A	Y
chr1	18630845	18748866	+	PAX7	Y
chr1	18839598	18859660	-	TAS1R2	Y
chr1	18871429	18902799	-	ALDH4A1	Y
chr1	18883201	18883275	-	MIR4695	Y
chr1	18897070	18897148	-	MIR1290	Y
chr1	18904279	18956676	-	IFFO2	Y
chr1	19074510	19210266	-	UBR4	Y
chr1	19210385	19240704	+	EMC1-AS1	Y
chr1	19215660	19251524	-	EMC1	Y
chr1	19251804	19260128	+	MRTO4	Y
chr1	19265981	19274122	-	AKR7L	Y
chr1	19282572	19288770	-	AKR7A3	Y
chr1	19293246	19295736	-	LOC100506730	Y
chr1	19302707	19312146	-	AKR7A2	Y
chr1	19312325	19332428	+	SLC66A1	Y
chr1	19338774	19485539	-	CAPZB	Y
chr1	19591801	19596832	-	LOC105378614	Y
chr1	19596976	19629821	+	MICOS10	Y
chr1	19596978	19658452	+	MICOS10-NBL1	Y
chr1	19607806	19608644	+	RPS14P3	Y
chr1	19643228	19658456	+	NBL1	Y
chr1	19664874	19680966	+	HTR6	Y
chr1	19682212	19799916	-	TMCO4	Y
chr1	19814028	19815283	-	RNF186	Y
chr1	19882394	19912944	+	OTUD3	Y
chr1	19920008	19923617	-	PLA2G2E	Y
chr1	19975434	19980434	-	PLA2G2A	Y
chr1	20070193	20091911	+	PLA2G5	Y
chr1	20111940	20119536	-	PLA2G2D	Y
chr1	20139322	20150381	+	PLA2G2F	Y
chr1	20154213	20160568	+	LOC117779438	Y
chr1	20163054	20186518	-	PLA2G2C	Y
chr1	20186095	20196050	+	UBXN10	Y
chr1	20243094	20244654	+	LINC01757	Y
chr1	20290874	20359518	+	VWA5B1	Y
chr1	20359800	20428794	-	LINC01141	Y
chr1	20482390	20486210	-	CAMK2N1	Y
chr1	20499447	20508151	-	MUL1	Y
chr1	20552572	20555020	+	FAM43B	Y
chr1	20589096	20618903	+	CDA	Y
chr1	20633457	20651511	+	PINK1	Y
chr1	20633678	20633788	+	MIR6084	Y
chr1	20642656	20652193	-	PINK1-AS	Y
chr1	20651777	20661369	-	DDOST	Y
chr1	20664013	20718007	-	KIF17	Y
chr1	20719730	20732703	-	SH2D5	Y
chr1	20740265	20787307	-	HP1BP3	Y
chr1	20806291	21176897	-	EIF4G3	Y
chr1	20988313	20988432	-	MIR1256	Y
chr1	21217249	21345504	-	ECE1	Y
chr1	21293289	21299869	+	ECE1-AS1	Y
chr1	21440136	21484900	+	NBPF3	Y
chr1	21508983	21578410	+	ALPL	Y
chr1	21596220	21669357	-	RAP1GAP	Y
chr1	21678298	21783149	-	USP48	Y
chr1	21812264	21825223	+	LDLRAD2	Y
chr1	21822243	21937310	-	HSPG2	Y
chr1	21977021	21989354	+	CELA3B	Y
chr1	22001656	22012542	+	CELA3A	Y
chr1	22023993	22026048	-	LINC01635	Y
chr1	22025190	22031224	+	LINC00339	Y
chr1	22052708	22101360	+	CDC42	Y
chr1	22117312	22143097	-	WNT4	Y
chr1	22266238	22266300	+	MIR4418	Y
chr1	22451850	22531157	+	ZBTB40	Y
chr1	22563488	22603595	+	EPHA8	Y
chr1	22633257	22633366	-	MIR6127	Y
chr1	22636627	22639678	+	C1QA	Y
chr1	22643632	22648108	+	C1QC	Y
chr1	22653235	22661636	+	C1QB	Y
chr1	22710837	22921500	+	EPHB2	Y
chr1	22719516	22719598	+	MIR4684	Y
chr1	22863158	22863226	-	MIR4253	Y
chr1	22953042	22972866	-	LACTBL1	Y
chr1	23010833	23015852	-	TEX46	Y
chr1	23019467	23083689	+	KDM1A	Y
chr1	23044304	23044372	+	MIR3115	Y
chr1	23084022	23168858	-	LUZP1	Y
chr1	23191894	23217502	-	HTR1D	Y
chr1	23281308	23285518	-	LINC01355	Y
chr1	23304689	23344284	-	HNRNPR	Y
chr1	23359447	23369836	-	ZNF436	Y
chr1	23368970	23371837	+	ZNF436-AS1	Y
chr1	23380908	23424748	-	TCEA3	Y
chr1	23428562	23484179	-	ASAP3	Y
chr1	23506437	23531233	-	E2F2	Y
chr1	23521929	23528419	+	LOC101928163	Y
chr1	23557925	23559501	-	ID3	Y
chr1	23627333	23640568	+	MDS2	Y
chr1	23691805	23696835	+	RPL11	Y
chr1	23743365	23762059	+	ELOA	Y
chr1	23760381	23778297	-	ELOA-AS1	Y
chr1	23778417	23788232	+	PITHD1	Y
chr1	23791144	23795539	+	LYPLA2	Y
chr1	23795598	23800754	-	GALE	Y
chr1	23801876	23825459	-	HMGCL	Y
chr1	23845080	23868290	-	FUCA1	Y
chr1	23870515	23913362	-	CNR2	Y
chr1	23929069	23929147	+	MIR378F	Y
chr1	23959827	23963459	+	PNRC2	Y
chr1	23964346	23980327	-	SRSF10	Y
chr1	24056040	24112135	-	MYOM3	Y
chr1	24119770	24143140	-	IL22RA1	Y
chr1	24154171	24187289	-	IFNLR1	Y
chr1	24200239	24211690	+	LINC02800	Y
chr1	24319356	24364480	+	GRHL3	Y
chr1	24356998	24415097	-	STPG1	Y
chr1	24413486	24472983	+	NIPAL3	Y
chr1	24496253	24502382	-	RCAN3AS	Y
chr1	24502343	24541040	+	RCAN3	Y
chr1	24539273	24556024	-	NCMAP-DT	Y
chr1	24556086	24609327	+	NCMAP	Y
chr1	24643301	24673281	+	SRRM1	Y
chr1	24745446	24844319	+	CLIC4	Y
chr1	24899510	24965010	-	RUNX3	Y
chr1	24919344	24919416	-	MIR6731	Y
chr1	25023502	25023586	+	MIR4425	Y
chr1	25222275	25232502	-	SYF2	Y
chr1	25242236	25338254	-	RSRP1	Y
chr1	25272485	25330445	+	RHD	Y
chr1	25338333	25362361	+	TMEM50A	Y
chr1	25362248	25420914	-	RHCE	Y
chr1	25430857	25500207	+	MACO1	Y
chr1	25543605	25568886	+	LDLRAP1	Y
chr1	25616790	25784449	+	MAN1C1	Y
chr1	25800192	25818221	+	SELENON	Y
chr1	25819905	25832942	+	MTFR1L	Y
chr1	25819953	25823606	-	LOC646471	Y
chr1	25831912	25859458	-	AUNIP	Y
chr1	25861483	25875708	-	PAQR7	Y
chr1	25884178	25906419	-	STMN1	Y
chr1	25906361	25906454	-	MIR3917	Y
chr1	25959766	25998063	-	PAFAH2	Y
chr1	26021774	26036463	+	EXTL1	Y
chr1	26037251	26046118	-	SLC30A2	Y
chr1	26051300	26067630	-	TRIM63	Y
chr1	26111164	26125548	+	PDIK1L	Y
chr1	26159078	26163962	+	FAM110D	Y
chr1	26164100	26168963	-	C1orf232	Y
chr1	26169907	26170873	+	ZNF593	Y
chr1	26177490	26189884	+	CNKSR1	Y
chr1	26190601	26202964	+	CATSPER4	Y
chr1	26225319	26229840	+	ZPLD2P	Y
chr1	26234199	26278808	+	CEP85	Y
chr1	26280085	26281522	+	SH3BGRL3	Y
chr1	26282281	26318265	-	UBXN11	Y
chr1	26317957	26320523	+	CD52	Y
chr1	26321858	26354130	-	CRYBG2	Y
chr1	26361633	26372794	-	ZNF683	Y
chr1	26410816	26429728	+	LIN28A	Y
chr1	26432281	26471304	+	DHDDS	Y
chr1	26462756	26467537	-	DHDDS-AS1	Y
chr1	26472439	26476642	+	HMGN2	Y
chr1	26529760	26575025	+	RPS6KA1	Y
chr1	26554541	26554593	+	MIR1976	Y
chr1	26691909	26694131	-	LOC101928728	Y
chr1	26696014	26782104	+	ARID1A	Y
chr1	26787053	26800659	+	PIGV	Y
chr1	26826687	26857604	+	ZDHHC18	Y
chr1	26863148	26864456	+	SFN	Y
chr1	26876131	26890283	-	GPN2	Y
chr1	26890487	26900467	-	GPATCH3	Y
chr1	26911488	26913975	-	NR0B2	Y
chr1	26921742	26946871	+	NUDC	Y
chr1	26949561	26960468	-	KDF1	Y
chr1	26993691	27000886	+	TRNP1	Y
chr1	27005019	27012850	-	TENT5B	Y
chr1	27098808	27155125	-	SLC9A1	Y
chr1	27234631	27308636	+	WDTC1	Y
chr1	27322144	27336400	+	TMEM222	Y
chr1	27323873	27326525	+	ACTG1P20	Y
chr1	27342021	27353932	+	SYTL1	Y
chr1	27355183	27366961	-	MAP3K6	Y
chr1	27369109	27374852	-	FCN3	Y
chr1	27379175	27383333	-	CD164L2	Y
chr1	27392621	27395813	+	GPR3	Y
chr1	27404229	27490167	-	WASF2	Y
chr1	27534244	27604144	-	AHDC1	Y
chr1	27612063	27635185	-	FGR	Y
chr1	27660327	27662722	-	LINC02574	Y
chr1	27666063	27672192	-	IFI6	Y
chr1	27725960	27763116	+	FAM76A	Y
chr1	27773218	27824443	+	STX12	Y
chr1	27830781	27851675	+	PPP1R8	Y
chr1	27834400	27834566	+	SCARNA1	Y
chr1	27872542	27886685	+	THEMIS2	Y
chr1	27891525	27914797	-	RPA2	Y
chr1	27934999	27959152	+	SMPDL3B	Y
chr1	27959972	27968093	+	XKR8	Y
chr1	27970343	28088637	-	EYA3	Y
chr1	28147165	28193936	-	PTAFR	Y
chr1	28200278	28233029	-	DNAJC8	Y
chr1	28236090	28238105	+	ATP5IF1	Y
chr1	28259517	28282491	+	SESN2	Y
chr1	28329039	28335965	+	MED18	Y
chr1	28369739	28500364	+	PHACTR4	Y
chr1	28505942	28510892	+	SNHG3	Y
chr1	28506042	28538989	+	RCC1	Y
chr1	28507364	28507571	+	SNORA73A	Y
chr1	28508557	28508762	+	SNORA73B	Y
chr1	28553016	28578545	+	TRNAU1AP	Y
chr1	28578537	28582983	-	SNHG12	Y
chr1	28578742	28578822	-	SNORD99	Y
chr1	28579763	28579893	-	SNORA61	Y
chr1	28580380	28580512	-	SNORA44	Y
chr1	28580919	28581053	-	SNORA16A	Y
chr1	28592264	28596666	+	RAB42	Y
chr1	28602849	28643067	-	TAF12	Y
chr1	28643255	28648799	+	LINC01715	Y
chr1	28648599	28648734	+	RNU11	Y
chr1	28668783	28719352	+	GMEB1	Y
chr1	28736620	28769775	+	YTHDF2	Y
chr1	28812169	28871267	+	OPRD1	Y
chr1	28887090	29120046	+	EPB41	Y
chr1	29119428	29123903	-	TMEM200B	Y
chr1	29147744	29181900	-	SRSF4	Y
chr1	29192656	29230934	-	MECR	Y
chr1	29236521	29326800	+	PTPRU	Y
chr1	29329619	29350114	-	LINC01756	Y
chr1	30013951	30037612	-	LINC01648	Y
chr1	30711276	30723585	-	MATN1	Y
chr1	30718771	30726746	+	MATN1-AS1	Y
